ID,Path,Size,MimeType,AgeDays,Score,RetentionBand,TargetPath,Operation,Snippet,Ext
1Be-dz-oSxwIAZlze6eb-ZyWw41LLjVR6,1.Organize/Twister/Carnival Delivery.xlsx,29220,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1147,81.8,active,01-Active/Career & Past Work/Softvision/Carnival Delivery.xlsx,move,,.xlsx
1AYnhlct_aSHVVLkFr3g7oUIlDaeeKi_P,1.Organize/Twister/resume,0,inode/directory,1243,58.6,review,02-Review/Career & Past Work/Softvision/resume,move,,
1L-tJmr7pjxxQZar-9RUcmYDg1BPcP20s,1.Organize/Twister/Anglur -tech stack def.pdf,8095709,application/pdf,1264,77.9,review,02-Review/Career & Past Work/Softvision/Anglur -tech stack def.pdf,move,,.pdf
1hxYSsqXKhV0vTtIOya3_kT87qq3jcR-3,1.Organize/Twister/Product tasks.png,2188688,image/png,1269,57.7,review,02-Review/Media & Assets/Product tasks.png,move,,.png
1L0gqBbmyHdveRu59a8ywh4nBeM__uNRV,1.Organize/Twister/Design Audit.pdf,3370445,application/pdf,1449,71.7,review,02-Review/Career & Past Work/Softvision/Design Audit.pdf,move,,.pdf
1KZb78kANWZ7xwIHcphFqBSRGNZ3rPyaf,1.Organize/Twister/pp,0,inode/directory,1462,51.3,review,02-Review/Career & Past Work/Softvision/pp,move,,
1raX6f4t7kFOXK10VgZh12W_r27IjbH45,1.Organize/Twister/dt,0,inode/directory,1471,51.0,review,02-Review/Career & Past Work/Softvision/dt,move,,
1Cj-2qeOPdPsO_wlH__Fr2W6esvHOn7Qk,1.Organize/Twister/Workshop Summary Decks-20220225T020700Z-001.zip,15028622,application/zip,1471,51.0,review,02-Review/Career & Past Work/Softvision/Workshop Summary Decks-20220225T020700Z-001.zip,move,,.zip
1PG_3R5JbluH-DjhhVCc0EUSpNgWoGxeM,1.Organize/Twister/Workshop Mural Export-20220225T020232Z-001.zip,150381243,application/zip,1471,51.0,review,02-Review/Career & Past Work/Softvision/Workshop Mural Export-20220225T020232Z-001.zip,move,,.zip
13Qa_0j1NYBip_yKdSZOPs48Z1ivDOpBi,1.Organize/Twister/Important links.docx,292626,application/vnd.openxmlformats-officedocument.wordprocessingml.document,1471,71.0,review,02-Review/Career & Past Work/Softvision/Important links.docx,move,,.docx
1wOSK5Jj03MJSSTkcqCZVBCc9o6gF6_5-,1.Organize/Twister/Copy of GuildSummit_Solutions.pptx,151995096,application/vnd.openxmlformats-officedocument.presentationml.presentation,1471,41.0,archive_candidate,03-Archive/Career & Past Work/Softvision/Copy of GuildSummit_Solutions.pptx,move,,.pptx
1w_n6OwhEEiOEeOqN_-EPr4R9wJgSvTef,1.Organize/Twister/innovation,0,inode/directory,1484,50.5,review,02-Review/Career & Past Work/Softvision/innovation,move,,
10JzE-DqYRgmGcot_J5OmEpbEp1rK_LKM,1.Organize/Twister/[Template] Customer Discovery.pdf,1713255,application/pdf,1485,70.5,review,02-Review/Career & Past Work/Softvision/[Template] Customer Discovery.pdf,move,,.pdf
1vesUVB7rxECh4LVhpe4JlOgAiVwzyz-g,1.Organize/Twister/Archive.zip,2424291,application/zip,1485,50.5,review,02-Review/Career & Past Work/Softvision/Archive.zip,move,,.zip
1qbl6jpO8K9SHuPvRI9gQInycdX6CSdjk,1.Organize/Twister/4c.zip,1025450,application/zip,1485,50.5,review,02-Review/Career & Past Work/Softvision/4c.zip,move,,.zip
1Ep1uRqJjuc9JbooAwMlLUycTLhOJgMuN,1.Organize/Twister/SPE,0,inode/directory,1486,50.5,review,02-Review/Career & Past Work/Softvision/SPE,move,,
1V-aJlf4sJw6i3iF5txLMiHIP7DLGN8t5,1.Organize/Twister/Community,0,inode/directory,1486,50.5,review,02-Review/Career & Past Work/Softvision/Community,move,,
1LamPxpbh4OnBGeMbNMCAvGPZS8CS9-kv,1.Organize/Twister/Product ,0,inode/directory,1486,50.5,review,02-Review/Career & Past Work/Softvision/Product ,move,,
1B8E2SAvh_hJgkydCsA4A1jmxgA7IMvgo,1.Organize/Twister/Product Discovery,0,inode/directory,1486,50.5,review,02-Review/Career & Past Work/Softvision/Product Discovery,move,,
1T1ap75ahPMvDOuQtNhLqWs1hRUMogSwE,1.Organize/Twister/ Community Kick-Off Session Breakout Activities - Product.pptx,4243513,application/vnd.openxmlformats-officedocument.presentationml.presentation,1498,70.1,review,02-Review/Career & Past Work/Softvision/ Community Kick-Off Session Breakout Activities - Product.pptx,move,,.pptx
1e2Oe1oLH1W5HZkRHfTmeJYg-QZiwN4Pf,1.Organize/Twister/NA Product Strategy Community Kick-Off .pptx,25818077,application/vnd.openxmlformats-officedocument.presentationml.presentation,1498,70.1,review,02-Review/Career & Past Work/Softvision/NA Product Strategy Community Kick-Off .pptx,move,,.pptx
1qCZhKI85Nz99O4Gpn-fBYlMUmw2AzV7a,1.Organize/Twister/692587.png,723841,image/png,1786,40.5,archive_candidate,03-Archive/Media & Assets/692587.png,move,,.png
1gUrPLpqLHYN6PQXJQhbwc2AhKu-Nqaaj,1.Organize/Twister/Architecture[5439].png,161636,image/png,1786,40.5,archive_candidate,03-Archive/Media & Assets/Architecture[5439].png,move,,.png
15kjCTp89MprFiV0hwzZN7Yb8EL6jnwA8,1.Organize/Twister/3548.pdf,2257868,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3548.pdf,move,,.pdf
1yDE76AkSmVoJ-pveI-oEAOL6pkMXQdkm,1.Organize/Twister/3549.pdf,392932,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3549.pdf,move,,.pdf
1t35o5vXqjQzZm-RseQVFhQqoNSuPZFUK,1.Organize/Twister/2295.pdf,1789169,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2295.pdf,move,,.pdf
1yCP5h79sBG1oT7I9BT46Xs2YLH7JThHK,1.Organize/Twister/2533.png,253323,image/png,1787,40.4,archive_candidate,03-Archive/Media & Assets/2533.png,move,,.png
1_Qol0umLUk-StNa9DAL9TM5Y0ImAJV1l,1.Organize/Twister/2604.pdf,2566488,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2604.pdf,move,,.pdf
1A0vVq2s0vExiBAjnIoJNHMmMdqPjUrRn,1.Organize/Twister/HRI_Competitive_Analysis_1021[2626].pdf,3323850,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/HRI_Competitive_Analysis_1021[2626].pdf,move,,.pdf
1T-eI847K3uX3gQZOi-g_3cCrtpArbzgH,1.Organize/Twister/2634.pdf,2862641,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2634.pdf,move,,.pdf
1U6n8VoEnok4JSkkHm7HQjifZTHq-RXC-,1.Organize/Twister/2708.pdf,4672767,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2708.pdf,move,,.pdf
194BEfgkYL7XRVapCLFTyWzqVZFgqEmBy,1.Organize/Twister/2985.pdf,326321,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2985.pdf,move,,.pdf
1-LMSdPelikLbwy1EdMFKxNeYTlrVrWR8,1.Organize/Twister/2987.pdf,2112948,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2987.pdf,move,,.pdf
1suGE0ed2X9Tx-tIbnUaZb_78SUEGDep2,1.Organize/Twister/2993.pdf,8920597,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/2993.pdf,move,,.pdf
1kmEtoDiBrVtWL80RL-5ezpcU5XnKqnyx,1.Organize/Twister/3022.pdf,695541,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3022.pdf,move,,.pdf
1e7mYQ4pyTYw0LL0F-2kwogDbr1kBOXWy,1.Organize/Twister/3034.pdf,7037566,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3034.pdf,move,,.pdf
13Iooir4eXsIzJqQrL18uXUAx3aJp28zs,1.Organize/Twister/3035.pdf,62727,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3035.pdf,move,,.pdf
12X_2FhTLdt5AeSd0zimwGam9VIg005HW,1.Organize/Twister/LKQ[3078].pdf,4638611,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/LKQ[3078].pdf,move,,.pdf
1sZrIQn4fJZT2Nod-nqLhx5VWlJmF1CEY,1.Organize/Twister/3083.pdf,659619,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3083.pdf,move,,.pdf
12ZRDJRvrBrlfUS4SZ8Jm5U1Vc_h9e1J-,1.Organize/Twister/3084.zip,1049561,application/zip,1787,40.4,archive_candidate,03-Archive/Career & Past Work/Softvision/3084.zip,move,,.zip
1tp6OzCs93ESxlEJFqSV7WEMvQyP4l8Sy,1.Organize/Twister/3124.pdf,3225162,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3124.pdf,move,,.pdf
1auGYcIXN6GxSED55V0s1gHcLyUrghBcQ,1.Organize/Twister/3137.pdf,3225162,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/3137.pdf,move,,.pdf
1ZzD8VpK6dBu9_I5lkLXmqqMePt6dzvY1,1.Organize/Twister/Macmillan[3144].pdf,1425001,application/pdf,1787,60.4,review,02-Review/Career & Past Work/Softvision/Macmillan[3144].pdf,move,,.pdf
